sensor,a,b,intercept,treatment,timestamp
GM102B_mean,16.787137,-12.003623,119.850958,min_monitor_20250403_142148,1743664908.0230503
GM302B_mean,18.227287,-14.559953,358.783856,min_monitor_20250403_142148,1743664908.0230503
GM502B_mean,20.939934,-19.362035,483.656651,min_monitor_20250403_142148,1743664908.0230503
GM702B_mean,14.521969,-0.059684,-75.664381,min_monitor_20250403_142148,1743664908.0230503
GM102B_mean,17.383763,-11.653050,83.883057,min_monitor_20250403_143149,1743665509.3032618
GM302B_mean,19.037924,-14.083628,309.914159,min_monitor_20250403_143149,1743665509.3032618
GM502B_mean,22.076216,-18.694363,415.155218,min_monitor_20250403_143149,1743665509.3032618
GM702B_mean,14.206183,-0.245238,-56.627050,min_monitor_20250403_143149,1743665509.3032618
GM102B_mean,18.216178,-11.485892,47.998248,min_monitor_20250403_144149,1743666109.8068206
GM302B_mean,20.179355,-13.854417,260.707909,min_monitor_20250403_144149,1743666109.8068206
GM502B_mean,23.638926,-18.380554,347.787986,min_monitor_20250403_144149,1743666109.8068206
GM702B_mean,13.874408,-0.311862,-42.324456,min_monitor_20250403_144149,1743666109.8068206
GM102B_mean,19.005919,-11.200194,8.490042,min_monitor_20250403_145150,1743666710.4041507
GM302B_mean,21.258367,-13.464072,206.728353,min_monitor_20250403_145150,1743666710.4041507
GM502B_mean,25.095392,-17.853661,274.925597,min_monitor_20250403_145150,1743666710.4041507
GM702B_mean,13.634847,-0.398526,-30.340010,min_monitor_20250403_145150,1743666710.4041507
GM102B_mean,19.701662,-10.811941,-32.220877,min_monitor_20250403_150150,1743667310.941677
GM302B_mean,22.201683,-12.937662,151.530884,min_monitor_20250403_150150,1743667310.941677
GM502B_mean,26.356328,-17.150006,201.142821,min_monitor_20250403_150150,1743667310.941677
GM702B_mean,13.466614,-0.492407,-20.495981,min_monitor_20250403_150150,1743667310.941677
GM102B_mean,20.740935,-10.807301,-67.785193,min_monitor_20250403_151151,1743667911.6226392
GM302B_mean,23.632703,-12.931274,102.560865,min_monitor_20250403_151151,1743667911.6226392
GM502B_mean,28.249266,-17.141555,136.365762,min_monitor_20250403_151151,1743667911.6226392
GM702B_mean,13.211961,-0.493544,-11.781657,min_monitor_20250403_151151,1743667911.6226392
GM102B_mean,21.576674,-10.689634,-101.389054,min_monitor_20250403_152210,1743668530.702875
GM302B_mean,24.765933,-12.771721,56.995283,min_monitor_20250403_152210,1743668530.702875
GM502B_mean,29.732022,-16.932792,76.746276,min_monitor_20250403_152210,1743668530.702875
GM702B_mean,13.081763,-0.511875,-6.546566,min_monitor_20250403_152210,1743668530.702875
GM102B_mean,22.211437,-10.458365,-133.114645,min_monitor_20250403_153211,1743669131.378732
GM302B_mean,25.632686,-12.455929,13.674827,min_monitor_20250403_153211,1743669131.378732
GM502B_mean,30.862260,-16.521001,20.256759,min_monitor_20250403_153211,1743669131.378732
GM702B_mean,12.950106,-0.559843,0.033665,min_monitor_20250403_153211,1743669131.378732
GM102B_mean,22.211437,-10.458365,-133.114645,min_monitor_20250403_153211,1743669131.378732
GM302B_mean,25.632686,-12.455929,13.674827,min_monitor_20250403_153211,1743669131.378732
GM502B_mean,30.862260,-16.521001,20.256759,min_monitor_20250403_153211,1743669131.378732
GM702B_mean,12.950106,-0.559843,0.033665,min_monitor_20250403_153211,1743669131.378732
GM102B_mean,22.071225,-9.669491,-162.923533,min_monitor_20250403_155212,1743670332.3201857
GM302B_mean,25.442703,-11.387035,-26.715117,min_monitor_20250403_155212,1743670332.3201857
GM502B_mean,30.616051,-15.135763,-32.086766,min_monitor_20250403_155212,1743670332.3201857
GM702B_mean,12.977326,-0.712990,5.820584,min_monitor_20250403_155212,1743670332.3201857
GM102B_mean,22.635599,-9.512377,-189.036381,min_monitor_20250403_160212,1743670932.789721
GM302B_mean,26.214104,-11.172287,-62.406787,min_monitor_20250403_160212,1743670932.789721
GM502B_mean,31.605057,-14.860437,-77.846729,min_monitor_20250403_160212,1743670932.789721
GM702B_mean,12.825178,-0.755346,12.860297,min_monitor_20250403_160212,1743670932.789721
GM102B_mean,23.760403,-9.857723,-212.226234,min_monitor_20250403_161432,1743671672.142141
GM302B_mean,27.698572,-11.628060,-93.011780,min_monitor_20250403_161432,1743671672.142141
GM502B_mean,33.479815,-15.436040,-116.498241,min_monitor_20250403_161432,1743671672.142141
GM702B_mean,12.713161,-0.720954,15.169726,min_monitor_20250403_161432,1743671672.142141
GM102B_mean,24.481857,-9.920361,-234.071397,min_monitor_20250403_162432,1743672272.6866567
GM302B_mean,28.684566,-11.713667,-122.867009,min_monitor_20250403_162432,1743672272.6866567
GM502B_mean,34.731893,-15.544748,-154.410323,min_monitor_20250403_162432,1743672272.6866567
GM702B_mean,12.500241,-0.702467,21.616787,min_monitor_20250403_162432,1743672272.6866567
GM102B_mean,24.988304,-9.810578,-256.104374,min_monitor_20250403_163433,1743672873.1433854
GM302B_mean,29.370150,-11.565052,-152.693338,min_monitor_20250403_163433,1743672873.1433854
GM502B_mean,35.607302,-15.354985,-192.495026,min_monitor_20250403_163433,1743672873.1433854
GM702B_mean,12.348114,-0.735444,28.235098,min_monitor_20250403_163433,1743672873.1433854
